  10.7500 2.0073e+05 1.5557e+05 2.6557e+05 1.5851e+05 2.6344e+05 1.8995e+05 2.1217e+05 1.8888e+05 2.1258e+05
  11.0000 1.8320e+05 1.4227e+05 2.4164e+05 1.4493e+05 2.3974e+05 1.7349e+05 1.9340e+05 1.7242e+05 1.9390e+05
  11.2500 1.6740e+05 1.3039e+05 2.2030e+05 1.3275e+05 2.1859e+05 1.5876e+05 1.7653e+05 1.5769e+05 1.7711e+05
  11.5000 1.5316e+05 1.1961e+05 2.0105e+05 1.2172e+05 1.9950e+05 1.4542e+05 1.6139e+05 1.4435e+05 1.6205e+05
  11.7500 1.4040e+05 1.0976e+05 1.8375e+05 1.1168e+05 1.8238e+05 1.3341e+05 1.4773e+05 1.3234e+05 1.4839e+05
  12.0000 1.2880e+05 1.0099e+05 1.6824e+05 1.0271e+05 1.6699e+05 1.2254e+05 1.3538e+05 1.2148e+05 1.3612e+05
  12.2500 1.1835e+05 9.2925e+04 1.5421e+05 9.4480e+04 1.5308e+05 1.1267e+05 1.2427e+05 1.1168e+05 1.2501e+05
  12.5000 1.0888e+05 8.5653e+04 1.4149e+05 8.7073e+04 1.4049e+05 1.0370e+05 1.1423e+05 1.0279e+05 1.1489e+05
  12.7500 1.0024e+05 7.9060e+04 1.2998e+05 8.0317e+04 1.2905e+05 9.5633e+04 1.0510e+05 9.4727e+04 1.0584e+05
  13.0000 9.2423e+04 7.3018e+04 1.1961e+05 7.4177e+04 1.1876e+05 8.8226e+04 9.6867e+04 8.7320e+04 9.7526e+04
  13.2500 8.5345e+04 6.7520e+04 1.1015e+05 6.8581e+04 1.0938e+05 8.1502e+04 8.9296e+04 8.0662e+04 9.0036e+04
  13.5000 7.8852e+04 6.2518e+04 1.0152e+05 6.3478e+04 1.0082e+05 7.5379e+04 8.2465e+04 7.4564e+04 8.3123e+04
  13.7500 7.2942e+04 5.7935e+04 9.3726e+04 5.8812e+04 9.3081e+04 6.9782e+04 7.6234e+04 6.9000e+04 7.6885e+04
  14.0000 6.7552e+04 5.3740e+04 8.6594e+04 5.4540e+04 8.6004e+04 6.4671e+04 7.0548e+04 6.3922e+04 7.1181e+04
  14.2500 6.2614e+04 4.9900e+04 8.0108e+04 5.0631e+04 7.9568e+04 5.9988e+04 6.5346e+04 5.9272e+04 6.5955e+04
  14.5000 5.8104e+04 4.6379e+04 7.4170e+04 4.7051e+04 7.3675e+04 5.5701e+04 6.0589e+04 5.5018e+04 6.1182e+04
  14.7500 5.3964e+04 4.3144e+04 6.8739e+04 4.3759e+04 6.8284e+04 5.1767e+04 5.6236e+04 5.1116e+04 5.6804e+04
  15.0000 5.0162e+04 4.0173e+04 6.3766e+04 4.0738e+04 6.3346e+04 4.8154e+04 5.2236e+04 4.7528e+04 5.2795e+04
  15.2500 4.6672e+04 3.7439e+04 5.9215e+04 3.7957e+04 5.8828e+04 4.4837e+04 4.8574e+04 4.4236e+04 4.9108e+04
  15.5000 4.3463e+04 3.4920e+04 5.5036e+04 3.5397e+04 5.4680e+04 4.1776e+04 4.5199e+04 4.1208e+04 4.5718e+04
  15.7500 4.0508e+04 3.2603e+04 5.1190e+04 3.3043e+04 5.0861e+04 3.8961e+04 4.2105e+04 3.8418e+04 4.2598e+04
  16.0000 3.7792e+04 3.0456e+04 4.7657e+04 3.0862e+04 4.7355e+04 3.6368e+04 3.9249e+04 3.5850e+04 3.9726e+04
  16.2500 3.5274e+04 2.8473e+04 4.4413e+04 2.8846e+04 4.4129e+04 3.3973e+04 3.6624e+04 3.3471e+04 3.7084e+04
  16.5000 3.2961e+04 2.6640e+04 4.1419e+04 2.6986e+04 4.1158e+04 3.1760e+04 3.4196e+04 3.1282e+04 3.4640e+04
  16.7500 3.0821e+04 2.4944e+04 3.8658e+04 2.5266e+04 3.8418e+04 2.9710e+04 3.1957e+04 2.9258e+04 3.2377e+04
  17.0000 2.8838e+04 2.3380e+04 3.6107e+04 2.3678e+04 3.5883e+04 2.7817e+04 2.9883e+04 2.7381e+04 3.0295e+04
  17.2500 2.7003e+04 2.1921e+04 3.3754e+04 2.2196e+04 3.3546e+04 2.6064e+04 2.7966e+04 2.5645e+04 2.8361e+04
  17.5000 2.5307e+04 2.0565e+04 3.1574e+04 2.0822e+04 3.1381e+04 2.4435e+04 2.6196e+04 2.4040e+04 2.6566e+04
